"AphiaID","url","scientificname","authority","status","unacceptreason","taxonRankID","rank","valid_AphiaID","valid_name","valid_authority","parentNameUsageID","kingdom","phylum","class","order","family","genus","citation","lsid","isMarine","isBrackish","isFreshwater","isTerrestrial","isExtinct","match_type","modified"
218484,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=218484","Lutjanus bengalensis","(Bloch, 1790)","accepted",NA,220,"Species",218484,"Lutjanus bengalensis","(Bloch, 1790)",159791,"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Lutjanidae","Lutjanus","Froese, R. and D. Pauly. Editors. (2024). FishBase. Lutjanus bengalensis (Bloch, 1790). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=218484 on 2024-04-07","urn:lsid:marinespecies.org:taxname:218484",1,0,0,0,NA,"like","2008-01-15T17:27:08.177Z"
384907,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=384907","Halipeurus forficulatus","Edwards, 1961","accepted",NA,220,"Species",384907,"Halipeurus forficulatus","Edwards, 1961",384804,"Animalia","Arthropoda","Hexapoda","Phthiraptera","Philopteridae","Halipeurus","WoRMS (2024). Halipeurus forficulatus Edwards, 1961. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=384907 on 2024-04-07","urn:lsid:marinespecies.org:taxname:384907",1,NA,NA,NA,NA,"like","2014-05-26T10:14:00.267Z"
208255,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=208255","Scabricola variegata","(Gmelin, 1791)","accepted",NA,220,"Species",208255,"Scabricola variegata","(Gmelin, 1791)",203860,"Animalia","Mollusca","Gastropoda","Neogastropoda","Mitridae","Scabricola","MolluscaBase eds. (2024). MolluscaBase. Scabricola variegata (Gmelin, 1791). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=208255 on 2024-04-07","urn:lsid:marinespecies.org:taxname:208255",1,0,0,0,0,"like","2018-02-26T18:31:22.273Z"
1063831,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=1063831","Isara cornea","(Lamarck, 1811)","accepted",NA,220,"Species",1063831,"Isara cornea","(Lamarck, 1811)",1063510,"Animalia","Mollusca","Gastropoda","Neogastropoda","Mitridae","Isara","MolluscaBase eds. (2024). MolluscaBase. Isara cornea (Lamarck, 1811). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1063831 on 2024-04-07","urn:lsid:marinespecies.org:taxname:1063831",1,0,0,0,0,"like","2018-03-07T17:45:07.470Z"
760292,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=760292","Synaraea solida","Verrill, 1864","taxon inquirendum",NA,220,"Species",760292,"Synaraea solida","Verrill, 1864",760287,"Animalia","Cnidaria","Hexacorallia","Scleractinia","Poritidae","Synaraea","Hoeksema, B. W.; Cairns, S. (2024). World List of Scleractinia. Synaraea solida Verrill, 1864. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=760292 on 2024-04-07","urn:lsid:marinespecies.org:taxname:760292",1,NA,0,0,NA,"like","2022-12-30T10:18:02.270Z"
834108,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=834108","Euchelus maculosus","Pease, 1863","taxon inquirendum",NA,220,"Species",834108,"Euchelus maculosus","Pease, 1863",204535,"Animalia","Mollusca","Gastropoda","Seguenziida","Chilodontaidae","Euchelus","MolluscaBase eds. (2024). MolluscaBase. Euchelus maculosus Pease, 1863. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=834108 on 2024-04-07","urn:lsid:marinespecies.org:taxname:834108",1,NA,NA,NA,NA,"like","2022-04-16T20:14:58.130Z"
410265,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=410265","Tonna melanostoma","(Jay, 1839)","accepted",NA,220,"Species",410265,"Tonna melanostoma","(Jay, 1839)",138557,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Tonnidae","Tonna","MolluscaBase eds. (2024). MolluscaBase. Tonna melanostoma (Jay, 1839). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=410265 on 2024-04-07","urn:lsid:marinespecies.org:taxname:410265",1,0,0,0,NA,"like","2020-04-08T20:37:59.863Z"
139016,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=139016","Cardita calyculata","(Linnaeus, 1758)","accepted",NA,220,"Species",139016,"Cardita calyculata","(Linnaeus, 1758)",137742,"Animalia","Mollusca","Bivalvia","Carditida","Carditidae","Cardita","MolluscaBase eds. (2024). MolluscaBase. Cardita calyculata (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=139016 on 2024-04-07","urn:lsid:marinespecies.org:taxname:139016",1,0,0,0,0,"like","2023-11-01T13:54:19.150Z"
1475607,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=1475607","Melampus mucronatus","A. Gould, 1852","accepted",NA,220,"Species",1475607,"Melampus mucronatus","A. Gould, 1852",160366,"Animalia","Mollusca","Gastropoda","Ellobiida","Ellobiidae","Melampus","MolluscaBase eds. (2024). MolluscaBase. Melampus mucronatus A. Gould, 1852. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1475607 on 2024-04-07","urn:lsid:marinespecies.org:taxname:1475607",1,0,0,0,NA,"like","2023-10-14T19:01:19.113Z"
446937,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=446937","Tectarius cumingii","(R. A. Philippi, 1846)","accepted",NA,220,"Species",446937,"Tectarius cumingii","(R. A. Philippi, 1846)",204037,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Tectarius","MolluscaBase eds. (2024). MolluscaBase. Tectarius cumingii (R. A. Philippi, 1846). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=446937 on 2024-04-07","urn:lsid:marinespecies.org:taxname:446937",1,NA,NA,NA,NA,"like","2023-02-28T12:49:09.583Z"
729827,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=729827","Scutarcopagia linguafelis","(Linnaeus, 1758)","accepted",NA,220,"Species",729827,"Scutarcopagia linguafelis","(Linnaeus, 1758)",205654,"Animalia","Mollusca","Bivalvia","Cardiida","Tellinidae","Scutarcopagia","MolluscaBase eds. (2024). MolluscaBase. Scutarcopagia linguafelis (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=729827 on 2024-04-07","urn:lsid:marinespecies.org:taxname:729827",1,NA,NA,NA,NA,"like","2016-05-20T11:50:43.673Z"
584869,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=584869","Aclophora xystica","(Jousseaume, 1884)","accepted",NA,220,"Species",584869,"Aclophora xystica","(Jousseaume, 1884)",531804,"Animalia","Mollusca","Gastropoda","[unassigned] Caenogastropoda","Triphoridae","Aclophora","MolluscaBase eds. (2024). MolluscaBase. Aclophora xystica (Jousseaume, 1884). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=584869 on 2024-04-07","urn:lsid:marinespecies.org:taxname:584869",1,NA,NA,NA,NA,"like","2011-10-27T20:41:48.473Z"
1248616,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=1248616","Talostolida violacincta","(Lorenz, 2002)","accepted",NA,220,"Species",1248616,"Talostolida violacincta","(Lorenz, 2002)",580707,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Cypraeidae","Talostolida","MolluscaBase eds. (2024). MolluscaBase. Talostolida violacincta (Lorenz, 2002). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1248616 on 2024-04-07","urn:lsid:marinespecies.org:taxname:1248616",1,0,0,0,0,"like","2018-04-20T13:07:42.137Z"
765638,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=765638","Scintilla crocea","Deshayes, 1856","accepted",NA,220,"Species",765638,"Scintilla crocea","Deshayes, 1856",204286,"Animalia","Mollusca","Bivalvia","Galeommatida","Galeommatidae","Scintilla","MolluscaBase eds. (2024). MolluscaBase. Scintilla crocea Deshayes, 1856. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=765638 on 2024-04-07","urn:lsid:marinespecies.org:taxname:765638",1,NA,NA,NA,NA,"like","2016-05-11T12:43:21.903Z"
507278,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=507278","Lonoa katoi","T. Habe, 1976","accepted",NA,220,"Species",507278,"Lonoa katoi","T. Habe, 1976",492290,"Animalia","Mollusca","Bivalvia","Cardiida","Semelidae","Lonoa","MolluscaBase eds. (2024). MolluscaBase. Lonoa katoi T. Habe, 1976. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=507278 on 2024-04-07","urn:lsid:marinespecies.org:taxname:507278",1,0,0,0,NA,"like","2023-11-18T20:57:37.950Z"
561205,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=561205","Reticunassa paupera","(A. Gould, 1850)","accepted",NA,220,"Species",561205,"Reticunassa paupera","(A. Gould, 1850)",560412,"Animalia","Mollusca","Gastropoda","Neogastropoda","Nassariidae","Reticunassa","MolluscaBase eds. (2024). MolluscaBase. Reticunassa paupera (A. Gould, 1850). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=561205 on 2024-04-07","urn:lsid:marinespecies.org:taxname:561205",1,NA,NA,NA,NA,"like","2022-04-22T18:18:23.610Z"
490941,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=490941","Engina astricta","(Reeve, 1846)","accepted",NA,220,"Species",490941,"Engina astricta","(Reeve, 1846)",137705,"Animalia","Mollusca","Gastropoda","Neogastropoda","Pisaniidae","Engina","MolluscaBase eds. (2024). MolluscaBase. Engina astricta (Reeve, 1846). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=490941 on 2024-04-07","urn:lsid:marinespecies.org:taxname:490941",1,NA,NA,NA,NA,"like","2010-07-19T15:09:49.263Z"
575158,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=575158","Cheilea cepacea","(Broderip, 1834)","accepted",NA,220,"Species",575158,"Cheilea cepacea","(Broderip, 1834)",204713,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Hipponicidae","Cheilea","MolluscaBase eds. (2024). MolluscaBase. Cheilea cepacea (Broderip, 1834). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=575158 on 2024-04-07","urn:lsid:marinespecies.org:taxname:575158",1,0,0,0,NA,"like","2022-02-26T20:33:21.877Z"
557941,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=557941","Lioconcha harteae","M. Huber, 2010","accepted",NA,220,"Species",557941,"Lioconcha harteae","M. Huber, 2010",204225,"Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Lioconcha","MolluscaBase eds. (2024). MolluscaBase. Lioconcha harteae M. Huber, 2010. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=557941 on 2024-04-07","urn:lsid:marinespecies.org:taxname:557941",1,NA,NA,NA,NA,"like","2011-01-06T21:17:58.453Z"
876255,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=876255","Scintillula clausa","(G. B. Sowerby III, 1914)","accepted",NA,220,"Species",876255,"Scintillula clausa","(G. B. Sowerby III, 1914)",580332,"Animalia","Mollusca","Bivalvia","Galeommatida","Galeommatidae","Scintillula","MolluscaBase eds. (2024). MolluscaBase. Scintillula clausa (G. B. Sowerby III, 1914). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=876255 on 2024-04-07","urn:lsid:marinespecies.org:taxname:876255",1,NA,NA,NA,NA,"like","2016-05-12T11:43:49.883Z"
