"acceptedScientificName","V2","isMarine","isFreshwater","isTerrestrial","isBrackish"
"Frigga crocuta (Taczanowski, 1878)","Catalogue of Life Checklist",NA,NA,1,NA
"Argyrodes samoensis O.Pickard-Cambridge, 1880","GBIF Backbone Taxonomy",NA,NA,1,NA
"Chironomus crassiforceps (Kieffer, 1916)","Union 4",NA,NA,1,NA
"Cosmophasis lami Berry, Beatty & PrÃ³szyÅ„ski, 1997","Catalogue of Life Checklist",NA,NA,1,NA
"Mocis trifasciata Stephens, 1830","Catalogue of Life Checklist",NA,NA,1,NA
"Ornebius novarae (Saussure, 1877)","Catalogue of Life Checklist",NA,NA,1,NA
"Polistes humilis (Fabricius, 1781)","Catalogue of Life Checklist",NA,NA,1,NA
"Solenopsis geminata (Fabricius, 1804)","Catalogue of Life Checklist",NA,NA,1,NA
"Tetramorium pacificum Mayr, 1870","Catalogue of Life Checklist",NA,NA,1,NA
"Catacanthus viridicatus Distant, 1881","GBIF Backbone Taxonomy",NA,NA,1,NA
"Coelophora inaequalis (Fabricius, 1775)","Integrated Taxonomic Information SystemITIS",NA,NA,1,NA
"Enicospilus aequalis (Szepligeti, 1906)","Catalogue of Life Checklist",NA,NA,1,NA
"Lampides boeticus (Linnaeus, 1767)","Catalogue of Life Checklist",NA,NA,1,NA
"Gehyra oceanica (Lesson, 1830)","Catalogue of Life Checklist",NA,NA,1,NA
"Bactrocera dorsalis (Hendel, 1912)","Integrated Taxonomic Information SystemITIS",NA,NA,1,NA
"Hieromantis ephodophora Meyrick, 1897","Catalogue of Life Checklist",NA,NA,1,NA
"Anax guttatus Burmeister, 1839","GBIF Backbone Taxonomy",NA,NA,1,NA
"Chrysomya megacephala (Fabricius, 1794)","Catalogue of Life Checklist",NA,NA,1,NA
"Styringomyia didyma Grimshaw, 1901","Catalogue of Life Checklist",NA,NA,1,NA
"Balta notulata (StÃ¥l, 1860)","Catalogue of Life Checklist",NA,NA,1,NA
"Ischiodon scutellaris (Fabricius, 1805)","Catalogue of Life Checklist",NA,NA,1,NA
"Pheidole sexspinosa Mayr, 1870","Catalogue of Life Checklist",NA,NA,1,NA
"Epuraea ocularis Fairmaire, 1849","Integrated Taxonomic Information SystemITIS",NA,NA,1,NA
"Pholcus ancoralis L.Koch, 1865","GBIF Backbone Taxonomy",NA,NA,1,NA
"Trathala annulicornis (Tosquinet, 1896)","Catalogue of Life Checklist",NA,NA,1,NA
"Allograpta nigripilosa (Hull, 1944)","Union 4",NA,NA,1,NA
"Cnaphalocrocis poeyalis (Boisduval, 1833)","Catalogue of Life Checklist",NA,NA,1,NA
"Leucauge granulata (Walckenaer, 1841)","Catalogue of Life Checklist",NA,NA,1,NA
"Trypoxylon nitidum F.Smith, 1856","GBIF Backbone Taxonomy",NA,NA,1,NA
"Chilocorus nigritus (Fabricius, 1798)","Integrated Taxonomic Information SystemITIS",NA,NA,1,NA
"Misumenops melloleitaoi Berland, 1942","Catalogue of Life Checklist",NA,NA,1,NA
"Ophiomyia lantanae (Froggatt, 1919)","Catalogue of Life Checklist",NA,NA,1,NA
"Aerodramus leucophaeus (Peale, 1849)","Catalogue of Life Checklist",NA,NA,1,NA
"Thorelliola ensifera (Thorell, 1877)","Catalogue of Life Checklist",NA,NA,1,NA
"Lagocheirus obsoletus Thomson, 1860","Catalogue of Life Checklist",NA,NA,1,NA
"Telostylinus lineolatus (Wiedemann, 1830)","Catalogue of Life Checklist",NA,NA,1,NA
"Emoia impar (Werner, 1898)","Catalogue of Life Checklist",NA,NA,1,NA
"Polydesma boarmoides (GuenÃ©e, 1852)","Catalogue of Life Checklist",NA,NA,1,NA
"Technomyrmex vitiensis Mann, 1921","GBIF Backbone Taxonomy",NA,NA,1,NA
"Actinocyclus verrucosus Ehrenberg, 1831","Catalogue of Life Checklist",1,NA,NA,NA
"Conus sanguinolentus Quoy & Gaimard, 1834","Catalogue of Life Checklist",1,NA,NA,NA
"Clytia simplex (Browne, 1902)","Catalogue of Life Checklist",1,NA,NA,NA
"Hindsia nivea","GBIF Backbone Taxonomy",1,NA,NA,NA
"Nebularia avenacea (Reeve, 1845)","GBIF Backbone Taxonomy",1,NA,NA,NA
"Cerithium pacificum Houbrick, 1992","Catalogue of Life Checklist",1,NA,NA,NA
"Leptoseris incrustans (Quelch, 1886)","Catalogue of Life Checklist",1,NA,NA,NA
"Rattus exulans (Peale, 1848)","Catalogue of Life Checklist",NA,NA,1,NA
"Oliva annulata (Gmelin, 1791)","World Register of Marine Species",1,NA,NA,NA
"Leiaster speciosus von Martens, 1866","Catalogue of Life Checklist",1,NA,NA,NA
"Strumigenys godeffroyi Mayr, 1866","Catalogue of Life Checklist",NA,NA,1,NA
"Strumigenys rogeri Emery, 1890","Catalogue of Life Checklist",NA,NA,1,NA
"Nylanderia glabrior","National Center for Biotechnology Information",NA,NA,1,NA
"Strumigenys mumfordi Wheeler, 1932","GBIF Backbone Taxonomy",NA,NA,1,NA
"Hypoponera opacior (Forel, 1893)","Catalogue of Life Checklist",NA,NA,1,NA
"Solenopsis globularia (Smith, 1858)","Catalogue of Life Checklist",NA,NA,1,NA
"Pheidole fervens Smith, 1858","Catalogue of Life Checklist",NA,NA,1,NA
"Iridomyrmex anceps (Roger, 1863)","Catalogue of Life Checklist",NA,NA,1,NA
"Ponera petila Wilson, 1957","Catalogue of Life Checklist",NA,NA,1,NA
"Aedes polynesiensis Marks, 1954","Catalogue of Life Checklist",NA,NA,1,NA
"Culex atriceps Edwards, 1926","Catalogue of Life Checklist",NA,NA,1,NA
"Culex roseni Belkin, 1962","Catalogue of Life Checklist",NA,NA,1,NA
"Aedes edgari Stone & Rosen, 1952","Catalogue of Life Checklist",NA,NA,1,NA
"Culex marquesensis Stone & Rosen, 1953","Catalogue of Life Checklist",NA,NA,1,NA
"Culex litoralis Bohart, 1946","Catalogue of Life Checklist",NA,NA,1,NA
"Stoeberhinus testaceus Butler, 1881","Catalogue of Life Checklist",NA,NA,1,NA
"Choreutis orthogona (Meyrick, 1886)","GBIF Backbone Taxonomy",NA,NA,1,NA
"Cnaphalocrocis trapezalis GuenÃ©e, 1854","Catalogue of Life Checklist",NA,NA,1,NA
