"acceptedScientificName","V2","isMarine","isFreshwater","isTerrestrial","isBrackish"
"Herlinda oligoria Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Dichelopa meligma Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Dichelopa messalina Clarke, 1971","Catalogue of Life Checklist",NA,NA,1,NA
"Asymphorodes seminiger Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Asymphorodes plemmelia Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Herlinda fasciola Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Asymphorodes amblysoma Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Bradina eremica Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Chloroclystis torninubis Prout, 1929","The Interim Register of Marine and Nonmarine Genera",NA,NA,1,NA
"Gonomyia tahitiensis Alexander, 1933","Union 4",NA,NA,1,NA
"Dichelopa vaccinii Clarke, 1971","Catalogue of Life Checklist",NA,NA,1,NA
"Gonomyia fuscoscutellata Alexander, 1933","Union 4",NA,NA,1,NA
"Asymphorodes aenigma Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Asymphorodes homosoma Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Wyoma dysgnoia Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Caloptilia insidia Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Ernophthora palassoptera Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Dichelopa dorsata Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Rhesalides curvata Lucas, 1895","Catalogue of Life Checklist",NA,NA,1,NA
"Chasmina tibialis Fabricius, 1775","Catalogue of Life Checklist",NA,NA,1,NA
"Tetragnatha macilenta L.Koch, 1872","GBIF Backbone Taxonomy",NA,NA,1,NA
"Tropidomantis tenera (Stal, 1858)","Catalogue of Life Checklist",NA,NA,1,NA
"Mocis frugalis (Fabricius, 1775)","Catalogue of Life Checklist",NA,NA,1,NA
"Cydia pseudomalesana Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Brachyrhynchus membranaceus (Fabricius, 1798)","The Interim Register of Marine and Nonmarine Genera",NA,NA,1,NA
"Scholastes lonchifer Hendel, 1914","Catalogue of Life Checklist",NA,NA,1,NA
"Xylosandrus crassiusculus Wood, 1982","Catalogue of Life Checklist",NA,NA,1,NA
"Leptoglossus gonagra (Fabricius, 1775)","Catalogue of Life Checklist",NA,NA,1,NA
"Australaena zimmermani Berland, 1942","Catalogue of Life Checklist",NA,NA,1,NA
"Pseudorichardia flavitarsis (Macquart, 1855)","Catalogue of Life Checklist",NA,NA,1,NA
"Anochetus graeffei Mayr, 1870","Catalogue of Life Checklist",NA,NA,1,NA
"Copostigma vitiense (Karny, 1926)","Catalogue of Life Checklist",NA,NA,1,NA
"Cyclosa tauraai Berland, 1933","Catalogue of Life Checklist",NA,NA,1,NA
"Litargus vestitus Sharp, 1879","Integrated Taxonomic Information SystemITIS",NA,NA,1,NA
"Lobopterella dimidiatipes (BolÃ­var, 1890)","Catalogue of Life Checklist",NA,NA,1,NA
"Drosophila ananassae Doleschall, 1858","Catalogue of Life Checklist",NA,NA,1,NA
"Iona minuta (Berland, 1929)","Catalogue of Life Checklist",NA,NA,1,NA
"Melanitis leda Linnaeus, 1758","Catalogue of Life Checklist",NA,NA,1,NA
"Dioxyna sororcula (Wiedemann, 1830)","Catalogue of Life Checklist",NA,NA,1,NA
"Montipora effusa (Dana, 1846)","Catalogue of Life Checklist",1,NA,NA,NA
"Ectopsocus fullawayi Enderlein, 1913","Catalogue of Life Checklist",NA,NA,1,NA
"Hyalopeplinus philippinensis Carvalho & Gross","GBIF Backbone Taxonomy",NA,NA,1,NA
"Conoderus pallipes (Eschscholtz, 1829)","The Interim Register of Marine and Nonmarine Genera",NA,NA,1,NA
"Luceria oculalis (Moore, 1877)","Catalogue of Life Checklist",NA,NA,1,NA
"Cardiocondyla minutior Forel, 1899","The Interim Register of Marine and Nonmarine Genera",NA,NA,1,NA
"Kallitaxila sinica (Walker, 1851)","Catalogue of Life Checklist",NA,NA,1,NA
"Neoscona theisi (Walckenaer, 1841)","Catalogue of Life Checklist",NA,NA,1,NA
"Sophonia orientalis (Matsumura, 1912)","Catalogue of Life Checklist",NA,NA,1,NA
"Peckia chrysostoma (Wiedemann, 1830)","Union 4",NA,NA,1,NA
"Sitobion avenae (Fabricius, 1775)","Catalogue of Life Checklist",NA,NA,1,NA
"Ponera swezeyi (Wheeler, 1933)","Catalogue of Life Checklist",NA,NA,1,NA
"Limnogonus luctuosus (Montrouzier, 1865)","Integrated Taxonomic Information SystemITIS",NA,1,1,NA
"Theridion societatis Berland, 1934","Catalogue of Life Checklist",NA,NA,1,NA
"Chalcolepidius silbermanni Chevrolat, 1835","The Interim Register of Marine and Nonmarine Genera",NA,NA,1,NA
"Clubiona samoensis Berland, 1929","Catalogue of Life Checklist",NA,NA,1,NA
"Trochoideus desjardinsi GuÃ©rin-MÃ©neville, 1857","Integrated Taxonomic Information SystemITIS",NA,NA,1,NA
"Targalla delatrix (GuenÃ©e, 1852)","Catalogue of Life Checklist",NA,NA,1,NA
"Physocyclus globosus (Taczanowski, 1874)","Catalogue of Life Checklist",NA,NA,1,NA
"Polydesma umbricola Boisduval, 1833","Catalogue of Life Checklist",NA,NA,1,NA
"Triclistus aitkeni (Cameron, 1897)","Catalogue of Life Checklist",NA,NA,1,NA
"Tangaroa tahitiensis (Berland, 1934)","Catalogue of Life Checklist",NA,NA,1,NA
"Melanostoma polynesiotes Mengual & Ramage, 2018","Catalogue of Life Checklist",NA,NA,1,NA
"Nesticodes rufipes (Lucas, 1846)","Catalogue of Life Checklist",NA,NA,1,NA
"Macroglossum hirundo Boisduval, 1832","Catalogue of Life Checklist",NA,NA,1,NA
"Chrysomya varipes (Macquart, 1851)","Catalogue of Life Checklist",NA,NA,1,NA
"Echthromorpha agrestoria (Swederus, 1787)","Catalogue of Life Checklist",NA,NA,1,NA
"Zelus renardii Kolenati, 1857","Catalogue of Life Checklist",NA,NA,1,NA
"Misumenops temihana Garb, 2007","Catalogue of Life Checklist",NA,NA,1,NA
"Utetheisa pulchelloides Hampson, 1907","Catalogue of Life Checklist",NA,NA,1,NA
"Parodynerus bicinctus (Fabricius, 1781)","Catalogue of Life Checklist",NA,NA,1,NA
"Drosophila mediostriata Duda, 1925","Catalogue of Life Checklist",NA,NA,1,NA
"Eucorynus crassicornis (J.C.Fabricius, 1802)","GBIF Backbone Taxonomy",NA,NA,1,NA
"Gnathothlibus astyanor (Boisduval)","Catalogue of Life Checklist",NA,NA,1,NA
"Acicnemis variegata L.Fairmaire, 1849","GBIF Backbone Taxonomy",NA,NA,1,NA
"Mautodontha virginiae Sartori, Gargominy & Fontaine, 2014","GBIF Backbone Taxonomy",NA,NA,1,NA
"Balaenoptera musculus (Linnaeus, 1758)","Catalogue of Life Checklist",1,NA,NA,NA
"Histrio histrio (Linnaeus, 1758)","Catalogue of Life Checklist",1,NA,NA,NA
"Synarea convexa Verrill, 1901","Integrated Taxonomic Information SystemITIS",1,NA,NA,NA
"Miocalles orbiculus (Marshall, 1931)","GBIF Backbone Taxonomy",NA,NA,1,NA
"Melanozosteria nitida (Brunner von Wattenwyl, 1865)","Catalogue of Life Checklist",NA,NA,1,NA
"Paragrubia vorax Chevreux, 1901","Catalogue of Life Checklist",1,NA,NA,NA
"Cautor granulatus (A.Adams & Reeve, 1850)","GBIF Backbone Taxonomy",1,NA,NA,NA
"Cardiocondyla nuda (Mayr, 1866)","Catalogue of Life Checklist",NA,NA,1,NA
"Succinea mammillata Pease, 1871","GBIF Backbone Taxonomy",NA,NA,1,NA
"Cryptops mirus Chamberlin, 1920","Integrated Taxonomic Information SystemITIS",NA,NA,1,NA
"Todiramphus tutus tutus","Wikispecies",NA,NA,1,NA
"Gehyra insulensis (Girard, 1858)","Catalogue of Life Checklist",NA,NA,1,NA
"Mecistocephalus angustior Chamberlin, 1920","Catalogue of Life Checklist",NA,NA,1,NA
"Helicina calliostoma Pease, 1871","GBIF Backbone Taxonomy",NA,NA,1,NA
"Junonia villida Fabricius, 1787","Catalogue of Life Checklist",NA,NA,1,NA
"Blennius tonganus Jordan & Seale, 1906","GBIF Backbone Taxonomy",1,NA,NA,NA
"Sternochetus mangiferae (J.C.Fabricius, 1775)","GBIF Backbone Taxonomy",NA,NA,1,NA
"Thelyphassa lateritia (Fairmaire, 1849)","GBIF Backbone Taxonomy",NA,NA,1,NA
"Adoretus sinicus Burmeister, 1855","Integrated Taxonomic Information SystemITIS",NA,NA,1,NA
"Adoretus versutus Harold, 1869","GBIF Backbone Taxonomy",NA,NA,1,NA
"Raiateana oulietea Boulard, 1979","Catalogue of Life Checklist",NA,NA,1,NA
"Rhyncogonus cordiformis Van Dyke, 1937","Catalogue of Life Checklist",NA,NA,1,NA
"Oopsis oblongipennis Fairmaire, 1850","Catalogue of Life Checklist",NA,NA,1,NA
"Metacolpodes monticola (Fairmaire, 1849)","Catalogue of Life Checklist",NA,NA,1,NA
"Ceresium olidum (Fairmaire, 1850)","GBIF Backbone Taxonomy",NA,NA,1,NA
"Simodactylus cinnamomeus (Boisduval, 1835)","Integrated Taxonomic Information SystemITIS",NA,NA,1,NA
"Acanthoderes quadrigibba (Say, 1831)","Catalogue of Life Checklist",NA,NA,1,NA
"Rhyncogonus sparsus Van Dyke, 1937","Catalogue of Life Checklist",NA,NA,1,NA
"Plaesius javanus Erichson, 1834","Catalogue of Life Checklist",NA,NA,1,NA
"Figulus foveicollis (Boisduval, 1835)","Catalogue of Life Checklist",NA,NA,1,NA
"Acicnemis variegatus Fairmaire, 1849","Catalogue of Life Checklist",NA,NA,1,NA
"Ceresium unicolor (Fabricius, 1787)","Catalogue of Life Checklist",NA,NA,1,NA
"Strepsicrates dyselia (Turner, 1946)","Catalogue of Life Checklist",NA,NA,1,NA
"Thalassodes pilaria GuenÃ©e, 1857","Catalogue of Life Checklist",NA,NA,1,NA
"Condica illecta (Walker, 1865)","Catalogue of Life Checklist",NA,NA,1,NA
"Gnathothlibus erotus Cramer, 1777","Catalogue of Life Checklist",NA,NA,1,NA
"Enicospilus melanocarpus Cameron, 1905","Catalogue of Life Checklist",NA,NA,1,NA
"Chrysomya rufifacies (Macquart, 1844)","Catalogue of Life Checklist",NA,NA,1,NA
"Rhomphaea cometes L.Koch, 1872","GBIF Backbone Taxonomy",NA,NA,1,NA
"Filicicoris viridis Namyatova & Cassis, 2016","GBIF Backbone Taxonomy",NA,NA,1,NA
"Lallemandana insignis (Distant, 1913)","GBIF Backbone Taxonomy",NA,NA,1,NA
"Pterolophia lateripicta (Fairmaire, 1879)","Catalogue of Life Checklist",NA,NA,1,NA
"Omphalotropis robusta Pease, 1869","World Register of Marine Species",NA,NA,1,NA
"Bactrocera perfusca (Aubertin, 1929)","Integrated Taxonomic Information SystemITIS",NA,NA,1,NA
"Bactrocera kirki (Froggatt, 1911)","Integrated Taxonomic Information SystemITIS",NA,NA,1,NA
"Simulium oviceps Edwards, 1933","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium rurutuense Craig, 1997","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium buissoni Roubaud, 1906","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium gallinum Edwards, 1932","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium lotii Craig, 1987","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium malardei Craig, 1987","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium exasperans Craig, 1987","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium hirticranium Craig & Joy, 2000","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium cheesmanae Edwards, 1927","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium dojeycorium Craig, 1997","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium evenhuisi Craig, 1997","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium maraaense Craig, 1997","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium dussertorum Craig, 1997","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium shannonae Craig, 1997","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium cataractarum Craig, 1987","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium tahitiense Edwards, 1927","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium lonckei Craig, 1997","Catalogue of Life Checklist",NA,NA,1,NA
"Labahitha marginata (Kishida, 1936)","Catalogue of Life Checklist",NA,NA,1,NA
"Swezeyia lyricen Kirkaldy, 1906","Catalogue of Life Checklist",NA,NA,1,NA
"Theridion melanostictum O.Pickard-Cambridge, 1876","GBIF Backbone Taxonomy",NA,NA,1,NA
"Tachysphex fanuiensis Cheesman, 1928","Catalogue of Life Checklist",NA,NA,1,NA
"Hydrotetrix hivaoana Tinkham, 1938","Catalogue of Life Checklist",NA,NA,1,NA
"Sulanyssus caput-medusae (Trouessart, 1887)","The Interim Register of Marine and Nonmarine Genera",NA,NA,1,NA
"Trachyrhizium urniformis Shiratori & Ishida, 2016","GBIF Backbone Taxonomy",1,NA,NA,NA
"Aulographis japonica Nakamura, Tuji & Suzuki, 2013","GBIF Backbone Taxonomy",1,NA,NA,NA
"Euplotes qatarensis Fotedar, Stoeck, Filker, Fell, Agatha, Marria & Jiang, 2016","GBIF Backbone Taxonomy",1,NA,NA,NA
"Gehyra mutilata (Wiegmann, 1834)","Catalogue of Life Checklist",NA,NA,1,NA
"Hemidactylus garnotii DumÃ©ril & Bibron, 1836","Catalogue of Life Checklist",NA,NA,1,NA
"Hemiphyllodactylus typus Bleeker, 1860","Catalogue of Life Checklist",NA,NA,1,NA
"Ptilinopus mercierii (Des Murs & PrÃ©vost, 1849)","Catalogue of Life Checklist",NA,NA,1,NA
"Asymphorodes leucoloma Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Carposina paracrinifera Clarke, 1971","Catalogue of Life Checklist",NA,NA,1,NA
"Erechthias coprosoma (Clarke, 1971)","Catalogue of Life Checklist",NA,NA,1,NA
"Cosmopterix nonna Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Pocillopora solida Quelch, 1886","World Register of Marine Species",1,NA,NA,NA
"Gemmaria marquesana Boone, 1938","World Register of Marine Species",1,NA,NA,NA
"Cycloseris tenuis (Dana, 1846)","Catalogue of Life Checklist",1,NA,NA,NA
"Madrepora papillosa Ellis & Solander, 1786","World Register of Marine Species",1,NA,NA,NA
"Zoanthus ransoni F.Pax & I.MÃ¼ller, 1956","GBIF Backbone Taxonomy",1,NA,NA,NA
"Anthrax semiscitus Walker, 1856","Catalogue of Life Checklist",NA,NA,1,NA
"Helicina pisum Philippi, 1847","World Register of Marine Species",NA,NA,1,NA
"Dichelopa sericopis Meyrick, 1926","Catalogue of Life Checklist",NA,NA,1,NA
"Cleora esoterica Prout, 1929","Catalogue of Life Checklist",NA,NA,1,NA
"Idioblasta linearis Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Asymphorodes cicatricula Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Yama tahitiensis Sublette & Martin, 1980","Catalogue of Life Checklist",NA,NA,1,NA
"Erechthias aspera (Clarke, 1986)","Catalogue of Life Checklist",NA,NA,1,NA
"Imma rotia Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Dichelopa paragnoma Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Epicephala spinula Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium adamsoni Edwards, 1932","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium bogusium Craig, 1997","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium concludium Craig, 1997","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium connae Craig, 1997","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium middlemissae Craig, 1997","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium fossatiae Craig, 1997","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium neoviceps Craig, 1987","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium hukaense SÃ©chan, 1983","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium anatolicum Craig, 1987","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium castaneum Craig, 1987","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium sublonckei Craig, 2004","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium pichoni Craig, Fossati & SÃ©chan, 1995","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium arlecchinum Craig, 1987","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium mesodontium Craig, 1987","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium fararae Craig & Joy, 2000","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium jnabsium Craig, 1997","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium raivavaense Craig & Porch","GBIF Backbone Taxonomy",NA,NA,1,NA
"Simulium proctorae Craig, 1997","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium clibanarium Craig, 1997","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium joyae Craig & Joy, 2000","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium rivierei Craig, Fossati & SÃ©chan, 1995","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium pallidicranium Craig & Joy, 2000","Catalogue of Life Checklist",NA,NA,1,NA
"Simulium sechani Craig & Fossati, 1995","Catalogue of Life Checklist",NA,NA,1,NA
"Czernyola palliseta (Malloch, 1929)","Catalogue of Life Checklist",NA,NA,1,NA
"Autosticha merista Clarke, 1971","Catalogue of Life Checklist",NA,NA,1,NA
"Asymphorodes regina Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Ephysteris longicornis Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Bootania moorea Desjardins & Grissell, 2002","Catalogue of Life Checklist",NA,NA,1,NA
"Encolapta melaina (Clarke, 1986)","Catalogue of Life Checklist",NA,NA,1,NA
"Glyphodes eudoxia Clarke, 1971","Catalogue of Life Checklist",NA,NA,1,NA
"Idioblasta acrogramma Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Asymphorodes leptotes Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Asymphorodes hemileucus Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Metastrongylus elongatus (Dujardin, 1845)","GBIF Backbone Taxonomy",NA,NA,1,NA
"Dichelopa pulcheria Clarke, 1971","Catalogue of Life Checklist",NA,NA,1,NA
"Syritta aenigmatopatria Hardy, 1964","Catalogue of Life Checklist",NA,NA,1,NA
"Fautaua diagonalis Collenette, 1929","Catalogue of Life Checklist",NA,NA,1,NA
"Gnathothlibus collardi Haxaire, 2002","GBIF Backbone Taxonomy",NA,NA,1,NA
"Hysteroneura setariae (Thomas, 1878)","Catalogue of Life Checklist",NA,NA,1,NA
"Neonesiotes remiformis Millidge, 1991","Catalogue of Life Checklist",NA,NA,1,NA
"Gyrineum pusillum (Broderip, 1833)","Catalogue of Life Checklist",1,NA,NA,NA
"Prionovolva brevis (G.B.Sowerby I, 1828)","GBIF Backbone Taxonomy",1,NA,NA,NA
"Cerithium nodulosum BruguiÃ¨re, 1792","Catalogue of Life Checklist",1,NA,NA,NA
"Scoliopteryx libatrix Linnaeus, 1758","Catalogue of Life Checklist",NA,NA,1,NA
"Gynaikothrips uzeli (Zimmermann, 1900)","Catalogue of Life Checklist",NA,NA,1,NA
"Wyeomyia mitchellii (Theobald, 1905)","Integrated Taxonomic Information SystemITIS",NA,1,1,NA
"Asymphorodes macrogramma Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Asymphorodes emphereia Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Opogona discordia Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Asymphorodes favilla Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Aukena tridentata (H.B.Baker, 1940)","GBIF Backbone Taxonomy",NA,NA,1,NA
"Aukena endodonta Bouchet & Abdou, 2001","GBIF Backbone Taxonomy",NA,NA,1,NA
"Parapercis tetracantha (LacepÃ¨de, 1801)","Catalogue of Life Checklist",1,NA,NA,NA
"Melampus striatus Pease, 1861","World Register of Marine Species",1,NA,NA,NA
"Isometrus maculatus (DeGeer, 1778)","Catalogue of Life Checklist",NA,NA,1,NA
"Glenognatha hirsutissima (Berland, 1935)","Catalogue of Life Checklist",NA,NA,1,NA
"Asymphorodes poliopterus Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Stathmopoda percnophthalma Clarke, 1971","Catalogue of Life Checklist",NA,NA,1,NA
"Zamagiria exedra Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Libnotes orofenaae (Alexander, 1947)","Union 4",NA,NA,1,NA
"Erechthias pagophila (Clarke, 1971)","Catalogue of Life Checklist",NA,NA,1,NA
"Conus marmoreus Linnaeus, 1758","Catalogue of Life Checklist",1,NA,NA,NA
"Stangeia rapae Clarke, 1971","Catalogue of Life Checklist",NA,NA,1,NA
"Rotalia menardii Parker, Jones & Brady, 1865","GBIF Backbone Taxonomy",1,NA,NA,NA
"Ophioblennius phalacrus Clark, 1938","GBIF Backbone Taxonomy",1,NA,NA,NA
"Paragobiodon kerri Smith, 1931","GBIF Backbone Taxonomy",1,NA,NA,NA
"Chalcophora japonica (Gory, 1840)","Catalogue of Life Checklist",NA,NA,1,NA
"Vini kuhlii (Vigors, 1824)","Catalogue of Life Checklist",NA,NA,1,NA
"Tramea transmarina Brauer, 1867","Catalogue of Life Checklist",NA,NA,1,NA
"Diachus auratus (Fabricius, 1801)","Integrated Taxonomic Information SystemITIS",NA,NA,1,NA
"Candoia bibroni (DumÃ©ril & Bibron, 1844)","Catalogue of Life Checklist",NA,NA,1,NA
"Estrilda troglodytes (Lichtenstein, 1823)","Catalogue of Life Checklist",NA,NA,1,NA
"Phalanta gabertii (GuÃ©rin-MÃ©neville, 1829)","Catalogue of Life Checklist",NA,NA,1,NA
"Chironomus samoensis Edwards, 1928","Catalogue of Life Checklist",NA,1,1,NA
"Allograpta jacqi Mengual & Ramage, 2018","Catalogue of Life Checklist",NA,NA,1,NA
"Macarostola pontificalis (Meyrick, 1928)","Catalogue of Life Checklist",NA,NA,1,NA
"Psammoecus pradieri Grouvelle, 1878","The Interim Register of Marine and Nonmarine Genera",NA,NA,1,NA
"Nacaduba tahitiensis Hara & Hirowatari, 1989","GBIF Backbone Taxonomy",NA,NA,1,NA
"Heteropoda nobilis (L.Koch, 1875)","GBIF Backbone Taxonomy",NA,NA,1,NA
"Cerithium torulosum (Linnaeus, 1767)","The Interim Register of Marine and Nonmarine Genera",1,NA,NA,NA
"Pupa affinis (A.Adams, 1855)","GBIF Backbone Taxonomy",1,NA,NA,NA
"Polistes aurifer de Saussure, 1853","Catalogue of Life Checklist",NA,NA,1,NA
"Syllophopsis australica (Forel, 1907)","GBIF Backbone Taxonomy",NA,NA,1,NA
"Monomorium destructor (Jerdon, 1851)","Catalogue of Life Checklist",NA,NA,1,NA
"Monomorium liliuokalanii Forel, 1899","Catalogue of Life Checklist",NA,NA,1,NA
"Pheidole oceanica Mayr, 1866","Catalogue of Life Checklist",NA,NA,1,NA
"Pheidole umbonata Mayr, 1870","Catalogue of Life Checklist",NA,NA,1,NA
"Ponera tenuis (Emery, 1900)","Catalogue of Life Checklist",NA,NA,1,NA
"Pyramica membranifera (Emery, 1869)","Catalogue of Life Checklist",NA,NA,1,NA
"Homalopoma picta","National Center for Biotechnology Information",1,NA,NA,NA
"Petroscirtes quadrimaculatus Kendall & Goldsborough, 1911","GBIF Backbone Taxonomy",1,NA,NA,NA
"Scolopendra dehaani Brandt, 1840","Integrated Taxonomic Information SystemITIS",NA,NA,1,NA
"Arca fusca (Lightfoot), 1786","Catalogue of Life Checklist",1,NA,NA,NA
"Pinctada vulgaris (Schumacher, 1817)","World Register of Marine Species",1,NA,NA,NA
"Noduliferola marquesana (Clarke, 1986)","Catalogue of Life Checklist",NA,NA,1,NA
"Dichelopa argema Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Sceliphron curvatum (F.Smith, 1870)","GBIF Backbone Taxonomy",NA,NA,1,NA
"Turbo crassus W.Wood, 1828","GBIF Backbone Taxonomy",1,NA,NA,NA
"Trioza zimmermani Tuthill, 1942","Catalogue of Life Checklist",NA,NA,1,NA
"Asymphorodes paraporia Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Dichelopa platyxantha Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Ernophthora iospila Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Aspidosiphon muelleri Diesing, 1851","Integrated Taxonomic Information SystemITIS",1,NA,NA,NA
"Stylophora paumotensis Chevalier, 1976","GBIF Backbone Taxonomy",1,NA,NA,NA
"Technomyrmex albipes (Smith, 1861)","Catalogue of Life Checklist",NA,NA,1,NA
"Omphalotropis subimperforata C.Boettger, 1916","GBIF Backbone Taxonomy",NA,NA,1,NA
"Callionymus cookii GÃ¼nther, 1872","GBIF Backbone Taxonomy",1,NA,NA,NA
"Rissoina costulata Dunker, 1860","The Interim Register of Marine and Nonmarine Genera",1,NA,NA,NA
"Monomorium antarcticum (Smith, 1858)","Catalogue of Life Checklist",NA,NA,1,NA
"Strumigenys insula (Bolton, 2000)","GBIF Backbone Taxonomy",NA,NA,1,NA
"Tetramorium tonganum Mayr, 1870","Catalogue of Life Checklist",NA,NA,1,NA
"Oligomyrmex tahitiensis Wheeler, 1936","Catalogue of Life Checklist",NA,NA,1,NA
"Pardalophora apiculata (Harris, 1835)","Catalogue of Life Checklist",NA,NA,1,NA
"Cheletopsis prosobonialis Bochkov, Fain & Dabert, 2002","Catalogue of Life Checklist",NA,NA,1,NA
"Dichelopa rhodographa Clarke, 1971","Catalogue of Life Checklist",NA,NA,1,NA
"Asymphorodes chrysophanes Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Eudonia aplysia Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Tirsa fiona Clarke, 1971","Catalogue of Life Checklist",NA,NA,1,NA
"Dichelopa canitia Clarke, 1986","Catalogue of Life Checklist",NA,NA,1,NA
"Rhyncogonus mimus Perkins, 1928","GBIF Backbone Taxonomy",NA,NA,1,NA
"Thaumatotibia nythobia (Clarke, 1971)","Catalogue of Life Checklist",NA,NA,1,NA
"Mesohomotoma hibisci (Froggatt, 1901)","Catalogue of Life Checklist",NA,NA,1,NA
"Coridromius tahitiensis Tatarnic & Cassis, 2008","Catalogue of Life Checklist",NA,NA,1,NA
"Herlinda phaeoxantha Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Metasia empelioptera Clarke, 1971","Catalogue of Life Checklist",NA,NA,1,NA
"Sigaloessa insularis Malloch, 1930","Catalogue of Life Checklist",NA,NA,1,NA
"Metasia gnorisma Clarke, 1971","Catalogue of Life Checklist",NA,NA,1,NA
"Asymphorodes hypostema Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Trioza alipellucida Klyver, 1932","Catalogue of Life Checklist",NA,NA,1,NA
"Imma heppneri Clarke, 1986","GBIF Backbone Taxonomy",NA,NA,1,NA
"Photodotis peregrina (Clarke, 1971)","Catalogue of Life Checklist",NA,NA,1,NA
"Metasia chionostigma Clarke, 1971","Catalogue of Life Checklist",NA,NA,1,NA
